la maison,das Haus (¨er)
l'appartement,die Wohnung (en)
la chambre,das Zimmer (-)
le salon,das Wohnzimmer (-)
la salle à manger,das Esszimmer (-)
la cuisine,die Küche (n)
la salle de bain,das Bad (¨er)
les toilettes,die Toilette (n)
le couloir,der Flur (e)
l'entrée,der Eingang (¨e)
le jardin,der Garten (¨) 
le balcon,der Balkon (s)
le garage,die Garage (n)
le grenier,der Dachboden (¨)
le sous-sol,der Keller (-)
la porte,die Tür (en)
la fenêtre,das Fenster (-)
le toit,das Dach (¨er)
le mur,die Wand (¨e)
le sol,der Boden (¨)
le meuble,das Möbel (-)
la table,der Tisch (e)
la chaise,der Stuhl (¨e)
le canapé,das Sofa (s)
le lit,das Bett (en)
l'armoire,der Schrank (¨e)
le réfrigérateur,der Kühlschrank (¨e)
le four,der Ofen (¨) 
la cuisinière,die Herdplatte (n)
le lave-vaisselle,die Spülmaschine (n)
la lampe,die Lampe (n)
le tapis,der Teppich (e)
la commode die Kommode (n)
l'étagère,das Regal (e) 
le bureau,der Schreibtisch (e) 
l'escabeau,die Leiter (n) 
l'outil,das Werkzeug (e) 
déménager,umziehen
rénover,reparieren
meubler,möblieren
nettoyer,reinigen
organiser,organisieren
